,Strategy_Combination,Stock_Selection_Method,Weight_Allocation_Method,Total_Return,CAGR_4Y,CAGR_3Y,CAGR_2Y,CAGR_1Y,Positive_Return_Count,Negative_Return_Count,Sum_Positive_Return,Sum_Negative_Return,Variance_4Y,Variance_3Y,Variance_2Y,Variance_1Y,Success_Rate,Backtest_Version,Rebalance
31,13_10,13,10,8.67,0.72,0.61,0.55,1.52,11,5,3.22,-0.53,0.0575,0.0506,0.065,0.0478,0.69,3,3m
32,10_8,10,8,4.9,0.49,0.52,0.67,1.73,13,3,2.28,-0.38,0.0347,0.0385,0.0558,0.0384,0.81,3,3m
33,9_4,9,4,11.15,0.83,0.75,0.73,1.74,13,3,3.2,-0.34,0.0401,0.0391,0.0555,0.0441,0.81,3,3m
34,5_9,5,9,5.31,0.52,0.58,0.79,1.81,10,6,2.44,-0.41,0.0417,0.0442,0.0611,0.0481,0.62,3,3m
35,7_9,7,9,6.83,0.62,0.75,0.56,1.49,31,17,2.99,-0.82,0.0382,0.0444,0.0514,0.0364,0.65,3,1m
36,9_6,9,6,4.31,0.44,0.44,0.44,0.95,12,4,2.09,-0.39,0.024,0.0216,0.0311,0.0297,0.75,3,3m
37,2_11,2,11,9.92,0.77,0.8,0.8,1.95,13,3,3.15,-0.42,0.0395,0.036,0.0502,0.0296,0.81,3,3m
38,12_8,12,8,8.02,0.68,0.71,0.49,1.26,34,14,3.08,-0.76,0.0398,0.0394,0.0414,0.0293,0.71,3,1m
39,12_9,12,9,11.1,0.83,0.73,0.51,1.39,33,15,3.54,-0.82,0.0575,0.0407,0.0479,0.0292,0.69,3,1m
40,2_10,2,10,10.19,0.79,0.81,0.81,1.98,13,3,3.2,-0.42,0.0422,0.039,0.0551,0.0387,0.81,3,3m
41,9_7,9,7,4.31,0.44,0.44,0.44,0.95,12,4,2.09,-0.39,0.024,0.0216,0.0311,0.0297,0.75,3,3m
42,7_8,7,8,9.15,0.74,0.8,0.58,1.43,34,14,3.29,-0.8,0.0489,0.0469,0.0482,0.0414,0.71,3,1m
43,9_3,9,3,6.01,0.57,0.45,0.37,1.28,11,5,3.0,-0.7,0.0613,0.053,0.0736,0.0819,0.69,3,3m
44,16_9,16,9,13.25,0.91,0.55,0.34,1.33,30,18,4.01,-0.99,0.0716,0.0425,0.0483,0.0319,0.62,3,1m
45,3_8,3,8,9.15,0.74,0.8,0.58,1.43,34,14,3.29,-0.8,0.0489,0.0469,0.0482,0.0414,0.71,3,1m
46,3_9,3,9,6.83,0.62,0.75,0.56,1.49,31,17,2.99,-0.82,0.0382,0.0444,0.0514,0.0364,0.65,3,1m
47,16_8,16,8,11.37,0.84,0.65,0.45,1.33,36,12,3.68,-0.9,0.0479,0.0373,0.0451,0.0371,0.75,3,1m
48,9_2,9,2,8.45,0.71,0.66,0.53,1.57,11,5,3.19,-0.53,0.057,0.057,0.0785,0.0927,0.69,3,3m
49,11_11,11,11,11.39,0.84,0.73,0.51,1.32,37,11,3.49,-0.75,0.0451,0.0449,0.0584,0.0585,0.77,3,1m
50,14_8,14,8,8.02,0.68,0.5,0.41,1.2,12,4,2.95,-0.42,0.0464,0.0377,0.0565,0.0508,0.75,3,3m
51,1_9,1,9,5.31,0.52,0.58,0.79,1.81,10,6,2.44,-0.41,0.0417,0.0442,0.0611,0.0481,0.62,3,3m
52,1_8,1,8,5.86,0.56,0.63,0.85,1.9,13,3,2.49,-0.38,0.0368,0.0401,0.0561,0.0358,0.81,3,3m
53,9_1,9,1,4.8,0.48,0.47,0.45,0.89,13,3,2.07,-0.29,0.0185,0.0126,0.0178,0.0125,0.81,3,3m
54,14_9,14,9,8.93,0.73,0.45,0.43,1.37,10,6,3.19,-0.45,0.0621,0.0427,0.0621,0.0492,0.62,3,3m
55,11_10,11,10,13.16,0.9,0.8,0.62,1.5,38,10,3.63,-0.72,0.049,0.047,0.0592,0.0502,0.79,3,1m
56,5_1,5,1,4.8,0.48,0.47,0.45,0.89,13,3,2.07,-0.29,0.0185,0.0126,0.0178,0.0125,0.81,3,3m
57,14_4,14,4,8.88,0.73,0.54,0.43,1.37,11,5,3.15,-0.47,0.0504,0.0459,0.0597,0.045,0.69,3,3m
58,7_3,7,3,8.94,0.73,0.64,0.43,1.55,35,13,3.8,-1.11,0.0706,0.0685,0.0847,0.0584,0.73,3,1m
59,16_6,16,6,5.72,0.55,0.39,0.12,0.5,31,17,3.27,-1.2,0.057,0.0484,0.049,0.0761,0.65,3,1m
60,1_5,1,5,10.94,0.82,0.66,0.7,1.69,13,3,3.24,-0.35,0.048,0.0416,0.0595,0.0524,0.81,3,3m
61,3_7,3,7,3.53,0.37,0.32,0.21,0.62,35,13,2.18,-0.78,0.0175,0.016,0.021,0.008,0.73,3,1m
62,14_11,14,11,8.94,0.73,0.64,0.55,1.47,11,5,3.22,-0.51,0.0556,0.0487,0.0616,0.0452,0.69,3,3m
63,12_2,12,2,10.8,0.81,0.71,0.39,1.17,37,11,3.69,-0.93,0.0669,0.0686,0.0763,0.084,0.77,3,1m
64,12_3,12,3,9.29,0.75,0.76,0.61,1.57,34,14,3.55,-0.91,0.0517,0.0469,0.0569,0.049,0.71,3,1m
65,14_10,14,10,8.03,0.68,0.56,0.48,1.27,10,6,3.16,-0.56,0.058,0.0527,0.0681,0.0667,0.62,3,3m
66,3_6,3,6,3.53,0.37,0.32,0.21,0.62,35,13,2.18,-0.78,0.0175,0.016,0.021,0.008,0.73,3,1m
67,10_1,10,1,4.8,0.48,0.47,0.45,0.89,13,3,2.07,-0.29,0.0185,0.0126,0.0178,0.0125,0.81,3,3m
68,1_4,1,4,11.15,0.83,0.75,0.73,1.74,13,3,3.2,-0.34,0.0401,0.0391,0.0555,0.0441,0.81,3,3m
69,16_7,16,7,5.72,0.55,0.39,0.12,0.5,31,17,3.27,-1.2,0.057,0.0484,0.049,0.0761,0.65,3,1m
70,7_2,7,2,9.71,0.77,0.65,0.4,1.34,34,14,3.57,-0.92,0.0675,0.0686,0.0791,0.07,0.71,3,1m
71,14_5,14,5,9.59,0.76,0.48,0.44,1.46,11,5,3.35,-0.51,0.0645,0.0469,0.0639,0.0484,0.69,3,3m
72,5_2,5,2,8.45,0.71,0.66,0.53,1.57,11,5,3.19,-0.53,0.057,0.057,0.0785,0.0927,0.69,3,3m
73,14_7,14,7,7.49,0.65,0.44,0.33,0.83,10,6,2.98,-0.49,0.0524,0.0416,0.0583,0.0816,0.62,3,3m
74,16_5,16,5,11.11,0.83,0.51,0.36,1.42,33,15,3.69,-0.91,0.0632,0.0365,0.0513,0.0246,0.69,3,1m
75,9_11,9,11,11.44,0.84,0.81,0.83,2.14,13,3,3.21,-0.31,0.0408,0.0429,0.0604,0.0408,0.81,3,3m
76,1_6,1,6,4.31,0.44,0.44,0.44,0.95,12,4,2.09,-0.39,0.024,0.0216,0.0311,0.0297,0.75,3,3m
77,5_11,5,11,11.44,0.84,0.81,0.83,2.14,13,3,3.21,-0.31,0.0408,0.0429,0.0604,0.0408,0.81,3,3m
78,10_3,10,3,6.42,0.59,0.46,0.38,1.34,11,5,2.99,-0.63,0.0577,0.0455,0.0616,0.0587,0.69,3,3m
79,3_4,3,4,12.02,0.86,0.74,0.55,1.28,37,11,3.42,-0.65,0.04,0.0402,0.0514,0.0539,0.77,3,1m
80,12_1,12,1,4.47,0.45,0.44,0.23,0.65,34,14,2.3,-0.66,0.0213,0.0177,0.0194,0.0132,0.71,3,1m
81,3_5,3,5,11.86,0.86,0.7,0.56,1.41,35,13,3.49,-0.69,0.041,0.0374,0.0496,0.0396,0.73,3,1m
82,10_2,10,2,9.17,0.74,0.7,0.58,1.58,12,4,3.19,-0.47,0.0512,0.049,0.0662,0.0654,0.75,3,3m
83,5_10,5,10,12.2,0.87,0.81,0.82,2.0,13,3,3.28,-0.31,0.0393,0.0391,0.0551,0.0375,0.81,3,3m
84,1_7,1,7,4.31,0.44,0.44,0.44,0.95,12,4,2.09,-0.39,0.024,0.0216,0.0311,0.0297,0.75,3,3m
85,16_4,16,4,10.73,0.81,0.61,0.35,1.39,35,13,3.52,-0.85,0.0473,0.0395,0.0514,0.0286,0.73,3,1m
86,9_10,9,10,12.2,0.87,0.81,0.82,2.0,13,3,3.28,-0.31,0.0393,0.0391,0.0551,0.0375,0.81,3,3m
87,7_1,7,1,4.47,0.45,0.44,0.23,0.65,34,14,2.3,-0.66,0.0213,0.0177,0.0194,0.0132,0.71,3,1m
88,14_6,14,6,7.49,0.65,0.44,0.33,0.83,10,6,2.98,-0.49,0.0524,0.0416,0.0583,0.0816,0.62,3,3m
89,5_3,5,3,6.01,0.57,0.45,0.37,1.28,11,5,3.0,-0.7,0.0613,0.053,0.0736,0.0819,0.69,3,3m
90,5_7,5,7,4.31,0.44,0.44,0.44,0.95,12,4,2.09,-0.39,0.024,0.0216,0.0311,0.0297,0.75,3,3m
91,14_2,14,2,6.57,0.6,0.47,0.31,1.12,10,6,3.24,-0.8,0.0664,0.0611,0.0777,0.0796,0.62,3,3m
92,7_5,7,5,11.86,0.86,0.7,0.56,1.41,35,13,3.49,-0.69,0.041,0.0374,0.0496,0.0396,0.73,3,1m
93,7_11,7,11,11.39,0.84,0.73,0.51,1.32,37,11,3.49,-0.75,0.0451,0.0449,0.0584,0.0585,0.77,3,1m
94,1_3,1,3,6.01,0.57,0.45,0.37,1.28,11,5,3.0,-0.7,0.0613,0.053,0.0736,0.0819,0.69,3,3m
95,10_6,10,6,4.15,0.43,0.44,0.44,0.95,12,4,2.04,-0.39,0.0225,0.0215,0.0311,0.0297,0.75,3,3m
96,3_1,3,1,4.47,0.45,0.44,0.23,0.65,34,14,2.3,-0.66,0.0213,0.0177,0.0194,0.0132,0.71,3,1m
97,12_4,12,4,11.45,0.84,0.74,0.53,1.2,37,11,3.35,-0.65,0.038,0.0388,0.0476,0.0488,0.77,3,1m
98,12_5,12,5,10.67,0.81,0.66,0.52,1.29,34,14,3.35,-0.68,0.0389,0.0341,0.045,0.0352,0.71,3,1m
99,10_7,10,7,4.15,0.43,0.44,0.44,0.95,12,4,2.04,-0.39,0.0225,0.0215,0.0311,0.0297,0.75,3,3m
100,1_2,1,2,8.45,0.71,0.66,0.53,1.57,11,5,3.19,-0.53,0.057,0.057,0.0785,0.0927,0.69,3,3m
101,7_10,7,10,13.16,0.9,0.8,0.62,1.5,38,10,3.63,-0.72,0.049,0.047,0.0592,0.0502,0.79,3,1m
102,16_1,16,1,4.64,0.47,0.48,0.29,0.75,34,14,2.41,-0.72,0.0234,0.0191,0.0232,0.0224,0.71,3,1m
103,7_4,7,4,12.02,0.86,0.74,0.55,1.28,37,11,3.42,-0.65,0.04,0.0402,0.0514,0.0539,0.77,3,1m
104,14_3,14,3,6.99,0.63,0.42,0.26,0.8,10,6,3.34,-0.79,0.0762,0.0446,0.0512,0.0566,0.62,3,3m
105,5_6,5,6,4.31,0.44,0.44,0.44,0.95,12,4,2.09,-0.39,0.024,0.0216,0.0311,0.0297,0.75,3,3m
106,16_11,16,11,7.99,0.68,0.61,0.42,1.68,34,14,3.47,-1.06,0.047,0.0448,0.0657,0.0317,0.71,3,1m
107,5_4,5,4,11.15,0.83,0.75,0.73,1.74,13,3,3.2,-0.34,0.0401,0.0391,0.0555,0.0441,0.81,3,3m
108,14_1,14,1,4.37,0.45,0.42,0.31,0.82,13,3,2.14,-0.42,0.0237,0.0193,0.0273,0.0227,0.81,3,3m
109,7_6,7,6,3.53,0.37,0.32,0.21,0.62,35,13,2.18,-0.78,0.0175,0.016,0.021,0.008,0.73,3,1m
110,16_3,16,3,12.81,0.89,0.63,0.42,1.68,31,17,4.08,-1.04,0.0821,0.0599,0.0775,0.0623,0.65,3,1m
111,9_9,9,9,5.31,0.52,0.58,0.79,1.81,10,6,2.44,-0.41,0.0417,0.0442,0.0611,0.0481,0.62,3,3m
112,10_5,10,5,10.04,0.78,0.64,0.7,1.68,13,3,3.14,-0.36,0.0474,0.0411,0.0594,0.0518,0.81,3,3m
113,3_2,3,2,9.71,0.77,0.65,0.4,1.34,34,14,3.57,-0.92,0.0675,0.0686,0.0791,0.07,0.71,3,1m
114,12_7,12,7,4.49,0.46,0.31,0.2,0.62,36,12,2.45,-0.79,0.0231,0.0151,0.0195,0.008,0.75,3,1m
115,12_6,12,6,4.49,0.46,0.31,0.2,0.62,36,12,2.45,-0.79,0.0231,0.0151,0.0195,0.008,0.75,3,1m
116,3_3,3,3,8.94,0.73,0.64,0.43,1.55,35,13,3.8,-1.11,0.0706,0.0685,0.0847,0.0584,0.73,3,1m
117,10_4,10,4,10.33,0.79,0.72,0.72,1.71,13,3,3.12,-0.34,0.0409,0.04,0.0561,0.0469,0.81,3,3m
118,1_1,1,1,4.8,0.48,0.47,0.45,0.89,13,3,2.07,-0.29,0.0185,0.0126,0.0178,0.0125,0.81,3,3m
119,9_8,9,8,5.86,0.56,0.63,0.85,1.9,13,3,2.49,-0.38,0.0368,0.0401,0.0561,0.0358,0.81,3,3m
120,16_2,16,2,17.41,1.04,1.03,0.74,1.65,37,11,3.95,-0.74,0.0523,0.0461,0.0585,0.0598,0.77,3,1m
121,7_7,7,7,3.53,0.37,0.32,0.21,0.62,35,13,2.18,-0.78,0.0175,0.016,0.021,0.008,0.73,3,1m
122,5_5,5,5,10.94,0.82,0.66,0.7,1.69,13,3,3.24,-0.35,0.048,0.0416,0.0595,0.0524,0.81,3,3m
123,16_10,16,10,8.83,0.72,0.58,0.31,1.49,34,14,3.59,-1.07,0.0516,0.0454,0.0546,0.0156,0.71,3,1m
124,2_4,2,4,10.33,0.79,0.72,0.72,1.71,13,3,3.12,-0.34,0.0409,0.04,0.0561,0.0469,0.81,3,3m
125,3_10,3,10,13.16,0.9,0.8,0.62,1.5,38,10,3.63,-0.72,0.049,0.047,0.0592,0.0502,0.79,3,1m
126,13_1,13,1,4.37,0.45,0.42,0.31,0.82,13,3,2.14,-0.42,0.0237,0.0193,0.0273,0.0227,0.81,3,3m
127,11_3,11,3,8.94,0.73,0.64,0.43,1.55,35,13,3.8,-1.11,0.0706,0.0685,0.0847,0.0584,0.73,3,1m
128,4_2,4,2,10.8,0.81,0.71,0.39,1.17,37,11,3.69,-0.93,0.0669,0.0686,0.0763,0.084,0.77,3,1m
129,15_7,15,7,5.94,0.56,0.41,0.15,0.5,31,17,3.31,-1.2,0.0583,0.0504,0.053,0.0761,0.65,3,1m
130,15_6,15,6,5.94,0.56,0.41,0.15,0.5,31,17,3.31,-1.2,0.0583,0.0504,0.053,0.0761,0.65,3,1m
131,4_3,4,3,9.29,0.75,0.76,0.61,1.57,34,14,3.55,-0.91,0.0517,0.0469,0.0569,0.049,0.71,3,1m
132,6_1,6,1,4.8,0.48,0.47,0.45,0.89,13,3,2.07,-0.29,0.0185,0.0126,0.0178,0.0125,0.81,3,3m
133,11_2,11,2,9.71,0.77,0.65,0.4,1.34,34,14,3.57,-0.92,0.0675,0.0686,0.0791,0.07,0.71,3,1m
134,3_11,3,11,11.39,0.84,0.73,0.51,1.32,37,11,3.49,-0.75,0.0451,0.0449,0.0584,0.0585,0.77,3,1m
135,2_5,2,5,10.04,0.78,0.64,0.7,1.68,13,3,3.14,-0.36,0.0474,0.0411,0.0594,0.0518,0.81,3,3m
136,2_7,2,7,4.15,0.43,0.44,0.44,0.95,12,4,2.04,-0.39,0.0225,0.0215,0.0311,0.0297,0.75,3,3m
137,13_2,13,2,6.19,0.58,0.44,0.32,1.09,10,6,3.26,-0.86,0.0704,0.0663,0.0909,0.1041,0.62,3,3m
138,12_10,12,10,10.75,0.81,0.67,0.46,1.2,36,12,3.44,-0.75,0.0459,0.0386,0.0415,0.0243,0.75,3,1m
139,6_3,6,3,6.42,0.59,0.46,0.38,1.34,11,5,2.99,-0.63,0.0577,0.0455,0.0616,0.0587,0.69,3,3m
140,4_1,4,1,4.47,0.45,0.44,0.23,0.65,34,14,2.3,-0.66,0.0213,0.0177,0.0194,0.0132,0.71,3,1m
141,15_4,15,4,13.43,0.91,0.67,0.41,1.45,35,13,3.78,-0.84,0.0607,0.0467,0.0564,0.0425,0.73,3,1m
142,15_5,15,5,14.44,0.95,0.64,0.37,1.47,34,14,3.96,-0.88,0.0669,0.0442,0.0577,0.034,0.71,3,1m
143,6_2,6,2,9.17,0.74,0.7,0.58,1.58,12,4,3.19,-0.47,0.0512,0.049,0.0662,0.0654,0.75,3,3m
144,11_1,11,1,4.47,0.45,0.44,0.23,0.65,34,14,2.3,-0.66,0.0213,0.0177,0.0194,0.0132,0.71,3,1m
145,12_11,12,11,10.38,0.79,0.7,0.52,1.11,37,11,3.44,-0.79,0.0435,0.0422,0.0556,0.0579,0.77,3,1m
146,13_3,13,3,5.84,0.55,0.38,0.26,0.83,10,6,3.3,-0.91,0.0812,0.0438,0.0558,0.0536,0.62,3,3m
147,2_6,2,6,4.15,0.43,0.44,0.44,0.95,12,4,2.04,-0.39,0.0225,0.0215,0.0311,0.0297,0.75,3,3m
148,2_2,2,2,9.17,0.74,0.7,0.58,1.58,12,4,3.19,-0.47,0.0512,0.049,0.0662,0.0654,0.75,3,3m
149,13_7,13,7,7.5,0.66,0.44,0.33,0.83,10,6,2.99,-0.49,0.0526,0.0418,0.0583,0.0816,0.62,3,3m
150,11_5,11,5,11.86,0.86,0.7,0.56,1.41,35,13,3.49,-0.69,0.041,0.0374,0.0496,0.0396,0.73,3,1m
151,10_10,10,10,10.19,0.79,0.81,0.81,1.98,13,3,3.2,-0.42,0.0422,0.039,0.0551,0.0387,0.81,3,3m
152,6_6,6,6,4.15,0.43,0.44,0.44,0.95,12,4,2.04,-0.39,0.0225,0.0215,0.0311,0.0297,0.75,3,3m
153,8_9,8,9,11.1,0.83,0.73,0.51,1.39,33,15,3.54,-0.82,0.0575,0.0407,0.0479,0.0292,0.69,3,1m
154,4_4,4,4,11.45,0.84,0.74,0.53,1.2,37,11,3.35,-0.65,0.038,0.0388,0.0476,0.0488,0.77,3,1m
155,15_1,15,1,4.64,0.47,0.48,0.29,0.75,34,14,2.41,-0.72,0.0234,0.0191,0.0232,0.0224,0.71,3,1m
156,4_5,4,5,10.67,0.81,0.66,0.52,1.29,34,14,3.35,-0.68,0.0389,0.0341,0.045,0.0352,0.71,3,1m
157,8_8,8,8,8.02,0.68,0.71,0.49,1.26,34,14,3.08,-0.76,0.0398,0.0394,0.0414,0.0293,0.71,3,1m
158,6_7,6,7,4.15,0.43,0.44,0.44,0.95,12,4,2.04,-0.39,0.0225,0.0215,0.0311,0.0297,0.75,3,3m
159,10_11,10,11,9.92,0.77,0.8,0.8,1.95,13,3,3.15,-0.42,0.0395,0.036,0.0502,0.0296,0.81,3,3m
160,11_4,11,4,12.02,0.86,0.74,0.55,1.28,37,11,3.42,-0.65,0.04,0.0402,0.0514,0.0539,0.77,3,1m
161,13_6,13,6,7.5,0.66,0.44,0.33,0.83,10,6,2.99,-0.49,0.0526,0.0418,0.0583,0.0816,0.62,3,3m
162,2_3,2,3,6.42,0.59,0.46,0.38,1.34,11,5,2.99,-0.63,0.0577,0.0455,0.0616,0.0587,0.69,3,3m
163,2_1,2,1,4.8,0.48,0.47,0.45,0.89,13,3,2.07,-0.29,0.0185,0.0126,0.0178,0.0125,0.81,3,3m
164,13_4,13,4,8.26,0.7,0.5,0.41,1.31,10,6,3.16,-0.54,0.055,0.0472,0.0609,0.0492,0.62,3,3m
165,11_6,11,6,3.53,0.37,0.32,0.21,0.62,35,13,2.18,-0.78,0.0175,0.016,0.021,0.008,0.73,3,1m
166,6_5,6,5,10.04,0.78,0.64,0.7,1.68,13,3,3.14,-0.36,0.0474,0.0411,0.0594,0.0518,0.81,3,3m
167,4_7,4,7,4.49,0.46,0.31,0.2,0.62,36,12,2.45,-0.79,0.0231,0.0151,0.0195,0.008,0.75,3,1m
168,15_2,15,2,9.23,0.74,0.64,0.42,1.45,33,15,3.67,-1.05,0.0625,0.0601,0.0709,0.0647,0.69,3,1m
169,1_10,1,10,12.2,0.87,0.81,0.82,2.0,13,3,3.28,-0.31,0.0393,0.0391,0.0551,0.0375,0.81,3,3m
170,1_11,1,11,11.44,0.84,0.81,0.83,2.14,13,3,3.21,-0.31,0.0408,0.0429,0.0604,0.0408,0.81,3,3m
171,15_3,15,3,10.16,0.79,0.49,0.32,1.69,31,17,4.1,-1.22,0.0956,0.0723,0.1,0.0707,0.65,3,1m
172,4_6,4,6,4.49,0.46,0.31,0.2,0.62,36,12,2.45,-0.79,0.0231,0.0151,0.0195,0.008,0.75,3,1m
173,6_4,6,4,10.33,0.79,0.72,0.72,1.71,13,3,3.12,-0.34,0.0409,0.04,0.0561,0.0469,0.81,3,3m
174,11_7,11,7,3.53,0.37,0.32,0.21,0.62,35,13,2.18,-0.78,0.0175,0.016,0.021,0.008,0.73,3,1m
175,13_5,13,5,8.17,0.69,0.43,0.39,1.33,10,6,3.27,-0.61,0.0668,0.0488,0.068,0.0602,0.62,3,3m
0,13_8,13,8,7.11,0.63,0.42,0.26,0.64,11,5,2.73,-0.38,0.0389,0.0277,0.034,0.0383,0.69,4,3m
1,4_10,4,10,6.97,0.63,0.47,0.17,0.65,30,18,3.41,-1.11,0.0563,0.0516,0.0519,0.0695,0.62,4,1m
2,6_9,6,9,4.53,0.46,0.33,0.36,0.79,12,4,2.29,-0.44,0.04,0.0318,0.0436,0.0739,0.75,4,3m
3,8_6,8,6,3.59,0.38,0.3,0.19,0.62,36,12,2.21,-0.79,0.0176,0.0151,0.0194,0.008,0.75,4,1m
4,8_10,8,10,6.97,0.63,0.47,0.17,0.65,30,18,3.41,-1.11,0.0563,0.0516,0.0519,0.0695,0.62,4,1m
5,8_11,8,11,7.1,0.63,0.51,0.22,0.71,31,17,3.35,-1.05,0.05,0.0508,0.0525,0.0684,0.65,4,1m
6,8_7,8,7,3.59,0.38,0.3,0.19,0.62,36,12,2.21,-0.79,0.0176,0.0151,0.0194,0.008,0.75,4,1m
7,6_8,6,8,4.58,0.46,0.38,0.41,0.99,12,4,2.13,-0.33,0.0325,0.0274,0.0377,0.0544,0.75,4,3m
8,4_11,4,11,7.1,0.63,0.51,0.22,0.71,31,17,3.35,-1.05,0.05,0.0508,0.0525,0.0684,0.65,4,1m
9,13_9,13,9,6.68,0.61,0.34,0.27,0.64,11,5,2.64,-0.37,0.0405,0.0229,0.032,0.0383,0.69,4,3m
10,15_10,15,10,8.41,0.7,0.41,0.26,0.65,29,19,3.62,-1.11,0.0551,0.0341,0.0354,0.0504,0.6,4,1m
11,11_9,11,9,6.55,0.6,0.4,0.12,0.77,33,15,3.47,-1.18,0.0544,0.0465,0.0467,0.0292,0.69,4,1m
12,8_5,8,5,5.31,0.52,0.31,0.13,0.56,30,18,3.03,-1.05,0.0425,0.0324,0.0362,0.0394,0.62,4,1m
13,4_8,4,8,6.3,0.58,0.42,0.23,0.78,33,15,3.15,-1.03,0.0345,0.0259,0.0308,0.0241,0.69,4,1m
14,4_9,4,9,6.5,0.6,0.4,0.13,0.74,32,16,3.49,-1.2,0.0545,0.044,0.0432,0.0271,0.67,4,1m
15,8_4,8,4,5.44,0.53,0.36,0.13,0.57,30,18,2.99,-1.02,0.0396,0.0372,0.0367,0.0393,0.62,4,1m
16,11_8,11,8,6.46,0.59,0.45,0.28,0.84,32,16,3.21,-1.05,0.0376,0.0293,0.0319,0.0232,0.67,4,1m
17,15_11,15,11,8.56,0.71,0.49,0.28,0.75,30,18,3.55,-1.04,0.0499,0.0372,0.0357,0.0483,0.62,4,1m
18,15_8,15,8,7.6,0.66,0.42,0.18,0.55,31,17,3.51,-1.13,0.0515,0.0355,0.0338,0.0424,0.65,4,1m
19,15_9,15,9,7.7,0.67,0.32,0.19,0.55,28,20,3.66,-1.19,0.069,0.0288,0.0321,0.0423,0.58,4,1m
20,8_1,8,1,4.47,0.45,0.44,0.23,0.65,34,14,2.3,-0.66,0.0213,0.0177,0.0194,0.0132,0.71,4,1m
21,2_8,2,8,4.58,0.46,0.38,0.41,0.99,12,4,2.13,-0.33,0.0325,0.0274,0.0377,0.0544,0.75,4,3m
22,8_3,8,3,9.59,0.76,0.49,0.27,0.57,32,16,3.89,-1.18,0.0636,0.0465,0.0495,0.0766,0.67,4,1m
23,6_10,6,10,6.69,0.61,0.55,0.62,0.91,11,5,2.65,-0.39,0.0378,0.0354,0.0449,0.0749,0.69,4,3m
24,6_11,6,11,6.07,0.57,0.51,0.55,0.91,11,5,2.52,-0.38,0.0368,0.0338,0.0439,0.0749,0.69,4,3m
25,8_2,8,2,6.06,0.57,0.43,0.17,0.47,31,17,3.45,-1.27,0.0576,0.0551,0.0614,0.0955,0.65,4,1m
26,2_9,2,9,4.53,0.46,0.33,0.36,0.79,12,4,2.29,-0.44,0.04,0.0318,0.0436,0.0739,0.75,4,3m
27,5_8,5,8,4.58,0.46,0.37,0.4,1.05,11,5,2.24,-0.4,0.0383,0.0322,0.0442,0.0601,0.69,4,3m
28,9_5,9,5,7.09,0.63,0.48,0.56,1.01,11,5,2.66,-0.33,0.0394,0.0303,0.0414,0.0624,0.69,4,3m
29,10_9,10,9,4.53,0.46,0.33,0.36,0.79,12,4,2.29,-0.44,0.04,0.0318,0.0436,0.0739,0.75,4,3m
30,13_11,13,11,6.33,0.59,0.36,0.22,0.65,11,5,2.68,-0.44,0.0424,0.032,0.0421,0.0486,0.69,4,3m
31,13_10,13,10,6.55,0.6,0.34,0.2,0.65,12,4,2.69,-0.42,0.0408,0.0309,0.0409,0.0486,0.75,4,3m
32,10_8,10,8,4.58,0.46,0.38,0.41,0.99,12,4,2.13,-0.33,0.0325,0.0274,0.0377,0.0544,0.75,4,3m
33,9_4,9,4,6.95,0.62,0.52,0.56,1.01,11,5,2.6,-0.31,0.0355,0.0313,0.0404,0.0623,0.69,4,3m
34,5_9,5,9,4.65,0.47,0.32,0.35,0.86,10,6,2.4,-0.49,0.0461,0.036,0.0492,0.0794,0.62,4,3m
35,7_9,7,9,6.55,0.6,0.4,0.12,0.77,33,15,3.47,-1.18,0.0544,0.0465,0.0467,0.0292,0.69,4,1m
36,9_6,9,6,4.77,0.48,0.48,0.44,0.95,12,4,2.2,-0.39,0.0242,0.0218,0.0311,0.0297,0.75,4,3m
37,2_11,2,11,6.07,0.57,0.51,0.55,0.91,11,5,2.52,-0.38,0.0368,0.0338,0.0439,0.0749,0.69,4,3m
38,12_8,12,8,6.3,0.58,0.42,0.23,0.78,33,15,3.15,-1.03,0.0345,0.0259,0.0308,0.0241,0.69,4,1m
39,12_9,12,9,6.5,0.6,0.4,0.13,0.74,32,16,3.49,-1.2,0.0545,0.044,0.0432,0.0271,0.67,4,1m
40,2_10,2,10,6.69,0.61,0.55,0.62,0.91,11,5,2.65,-0.39,0.0378,0.0354,0.0449,0.0749,0.69,4,3m
41,9_7,9,7,4.77,0.48,0.48,0.44,0.95,12,4,2.2,-0.39,0.0242,0.0218,0.0311,0.0297,0.75,4,3m
42,7_8,7,8,6.46,0.59,0.45,0.28,0.84,32,16,3.21,-1.05,0.0376,0.0293,0.0319,0.0232,0.67,4,1m
43,9_3,9,3,8.19,0.69,0.49,0.6,1.04,10,6,2.86,-0.34,0.0432,0.0355,0.0419,0.0569,0.62,4,3m
44,16_9,16,9,6.76,0.61,0.26,0.13,0.53,29,19,3.53,-1.21,0.0665,0.03,0.0303,0.0386,0.6,4,1m
45,3_8,3,8,6.46,0.59,0.45,0.28,0.84,32,16,3.21,-1.05,0.0376,0.0293,0.0319,0.0232,0.67,4,1m
46,3_9,3,9,6.55,0.6,0.4,0.12,0.77,33,15,3.47,-1.18,0.0544,0.0465,0.0467,0.0292,0.69,4,1m
47,16_8,16,8,6.82,0.62,0.39,0.14,0.53,31,17,3.4,-1.14,0.052,0.037,0.0327,0.0384,0.65,4,1m
